D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
B,phone[+]screen[+]ergonomics[+]size[+][u],"this really is a great little phone ; its got nice features  a beatiful screen  great ergonomics  and its tiny ! 
B,size[+],"this phone won me over  and a big seller was the size ; it fits nicely into any pocket without falling out" 
B,volume[-][u],"its quiet" 
B,nokia[+],"nokia was my first nonflip phone  and i 'm glad i decided to go with them" 
B,volume[+][u],"first of all  my calls were loud and clear  unlike with sprint" 
B,reception[+][u],"i could make phone calls from locations i previously could not ( like my apartment )" 
B,size[+][u]weight[+]design[+],"the phone is small  light  and very attractive" 
B,battery life[+],"the battery life is amazing" 
B,color screen[+]ringtone[+],"the color screen is a plus  as are the polyphonic ringtones" 
B,phone[+],"i 'm not one who uses web browsing  so this phone easily met and surpassed my needs" 
B,phone[+][p],"i highly recommend this phone to anyone" 
B,sound[-]volume[-],"i do here a constant high-pitched distorted sound  not to mention the volume does not seem to be loud enough" 
B,phone[+] feature[+],"it is a great phone  if you are traveling all over the world  packed with wonderful features" 
B,weight[+][u]battery life[+],"this is a very light phone - a little less than 3 oz  with long battery life ( not as long as the new polymer technology )" 
B,speakerphone[+],"the hands-free speakerphone is quite powerful ( like the motorola phone  i used to own )" 
B,speakerphone[+][p],"i simply love this feature" 
B,headset[+],"in addition it comes with a sleek and powerful headset" 
B,radio[+],"the built in fm radio is excellent for people traveling by public transport" 
B,pc sync[+],"the pc sync feature is superb that comes with nokia pc suite software ( with data cable or infrared port or bluetooth )" 
B,tone[+]wallpaper[+]application[+],"additionally  it has more fun stuff like more tones  wallpapers  screensaver  stop clock  alarm  java applications ( chess  currency converter etc. ) 
B,message[+]picture sharing[+],"the mobile text messaging  chat  picture sharing etc. other nicities  that you would enjoy" 
B,mms[+],"the mms technology is very well integrated with this phone  which you will enjoy" 
B,phone[+],"i can recommend this phone to anyone  anytime" 
B,size[+]feature[+],"not only is it the perfect size ( not too small  not too large )  it also has all the features a high-tech phone user would want" 
B,use[+],"in true nokia style  the phone is simple to use and despite its delicate appearance  this little guy is as durable as other nokias i have owned" 
B,phone book[+]speakerphone[+],"the phone book is very user-friendly and the speakerphone is excellent" 
B,radio[+],"even better  with the optional headset you can listen to music over the integrated radio" 
B,voice dialing[-],"although i find it more convenient to use 1-touch dialing  this phone does not have voice dialing" 
B,key[-],"the keypad is a decent size  but the power on/off key is small and difficult to press" 
B,battery life[+],"however  the battery life is good enough you should n't be overly concerned with turning this phone off" 
B,volume control[-],"in my opinion the worst issue on this phone is the side-mounted volume control" 
B,headphone jack[-],"one other issue is that the headphone jack is unique to nokia  so standard headphones will not work" 
B,phone[+],"overall this is the best phone i have ever owned" 
B,phone[+][u],"nokia does not disappoint in this model" 
B,screen[-],"one complaint".. the screen is too easily scratched ! 
B,battery life[+]radio[+]signal[+]speakerphone[+]application[+],"it has great battery life  fm radio  excellent signal  hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps" 
B,phone[+],"great phone"." 
B,feature[+],"great features"." 
B,size[+]speakerphone[+]plan[+],"i did a ton of research and settled on this phone because of the small size  speakerphone option  great priced calling plan and access to my corporate email" 
B,phone[+],"i have had no problems with the phone" 
B,phone[+],"great phone  i 'd buy another" 
B,phone[+] look[+],"excellent phone  the phone looks much better than what u see in the pictures" 
B,default ringtone[-],"one more thing  the default ringtones that come with the phone are horrible" 
B,phone[+],"overall an excellent phone" 
B,t-mobile[+],"the service from t-mobile is very good too" 
B,phone[+]use[+]network[+],"great phone  easy to use  excellent network  no regrets ! ! ! 
B,phone[+],"i purchased this phone for just 50 $ and there is no end to what i can do with it" 
B,phone[+],"nokia and t-mobile really teamed up well on this baby" 
B,service[+]ringtone[+],"service is great as far as i can tell  features work like a charm  ringtones are high quality if you buy them from t-mobile and aim is great" 
B,phone[+],"this is probably your best bet if you are looking for a phone in this price range  or like me  do not have the patience to deal with annoying flip phones" 
B,phone[+],"1 month  no problems  great phone i 'm very pleased with my 6610 phone" 
B,feature[+],"yes  the features are numerous" 
B,speakerphone[+],"the speakerphone works better than any speakerphone i 've ever had" 
B,sound quality[+],"the sound quality is excellent  except  maybe a , tad , too quiet at times when there are quieter talkers on the other end of the line" 
B,earpiece[+],"the included earpiece is very comfortable and easy to use" 
B,phone[+],"i have not had any distortion problems with this phone and am more pleased with this phone than any i 've used before" 
B,size[+][u] look{+],"first let me say that it is much smaller than it looks on the web and it also looks better" 
B,radio[+],"the radio feature has superb sound quality" 
B,design[+],"it has a classic design yet looks hip" 
B,weight[+][u],"it is extremely light and dissapears in your pocket" 
B,battery[+],"the battery is alot better than most of the phones out there" 
B,phone[+],"this phone is great as a whole and is not like others with one or two good qualities" 
B,[t]6610 = great phone and a few extras i am a person that needs my phone ( s ) on demand" 
B,internet[-],"the only problem that i have found with the internet service is that it does not access mls ( real estate broker software ) very well at all" 
B,browsing[+],"it does well in all aspects of internet browsing" 
B,game[-],"i find the lack of entertaining games on this phone quite disturbing" 
B,battery life[+],"battery life is good for a phone of this size" 
B,voice dialing[+],"but anyway  the only thing you should really look at here is the fact that the phone does have voice dialing" 
B,screen[+]sound[+],"great screen and great sound" 
B,phone[+],"the 6610 excels as a cell phone  thank god" 
B,voice quality[+]reception[+],"the voice quality is very good  and it gets great reception ( that is  in places where you get t-mobile coverage  which is not that good ; see below )" 
